date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:46	38559/38559	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a07b8f22a3a115b45c1aa9133551f3cb%22	https://showandtell.agency/_next/static/chunks/9453-e0f29c59efc09d6f.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/9453-e0f29c59efc09d6f.js	(from https://showandtell.agency/)
19:30:46	22316/22316	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fd60ce02349a5a30771bd8d6387929f3%22	https://showandtell.agency/_next/static/chunks/9944.6d60787466f865f1.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/9944.6d60787466f865f1.js	(from https://showandtell.agency/)
19:30:46	1112/1112	---MCZ	200	added ('OK')	application/javascript	etag:W/%2203216979cfed26ccc057bbe312a909f7%22	https://showandtell.agency/_next/static/chunks/8375.f20dd7ba07ae56af.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/8375.f20dd7ba07ae56af.js	(from https://showandtell.agency/)
19:30:46	3888/3888	---MCZ	200	added ('OK')	application/javascript	etag:W/%226ef8f8170eeabbaf5c7902d472ecf173%22	https://showandtell.agency/_next/static/chunks/3024.0c96c1807f90ecee.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/3024.0c96c1807f90ecee.js	(from https://showandtell.agency/)
19:30:47	3785/3785	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f2768ab443bfe18c421db3b87cf6f7d%22	https://showandtell.agency/_next/static/chunks/1340.b91904caca459e30.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/1340.b91904caca459e30.js	(from https://showandtell.agency/)
19:30:47	18135/18135	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dcd931a066811e14e2bdfee30a940618%22	https://showandtell.agency/_next/static/chunks/9430.1e36e604e2f77dda.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/9430.1e36e604e2f77dda.js	(from https://showandtell.agency/)
19:30:47	848068/848068	---MCZ	200	added ('OK')	text/html	etag:W/%22jl7w7kwg5fi515%22	https://showandtell.agency/de	C:/My%20Web%20Sites/loki2/showandtell.agency/de.html	(from https://showandtell.agency/)
19:30:48	78401/78401	---MCZ	200	added ('OK')	application/javascript	etag:W/%22174478cfd5c85d1deb2d0a0921b392a6%22	https://showandtell.agency/_next/static/chunks/d3048c20-85006cc37e2a1e08.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/d3048c20-85006cc37e2a1e08.js	(from https://showandtell.agency/)
19:30:48	325321/325321	---MCZ	200	added ('OK')	application/javascript	etag:W/%229eacda8a38f98d5e0d1dcc2b05401210%22	https://showandtell.agency/_next/static/chunks/fec483df-ede4164406302095.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/fec483df-ede4164406302095.js	(from https://showandtell.agency/)
19:30:48	59459/59459	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260d4861a2286e879448aee2444d64f43%22	https://showandtell.agency/_next/static/chunks/d2094a0f-786ce57baa535fca.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/d2094a0f-786ce57baa535fca.js	(from https://showandtell.agency/)
19:30:48	21967/21967	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a14f0e29eb12aee26482c28173ddadd6%22	https://showandtell.agency/_next/static/chunks/8764-eea8f6b555b2048d.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/8764-eea8f6b555b2048d.js	(from https://showandtell.agency/)
19:30:48	49727/49727	---MCZ	200	added ('OK')	application/javascript	etag:W/%227a8938b5986bcf7eb6e41f8d6ad95fa9%22	https://showandtell.agency/_next/static/chunks/9539-2e9ccb1a4ee3095f.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/9539-2e9ccb1a4ee3095f.js	(from https://showandtell.agency/)
19:30:48	79580/79580	---MCZ	200	added ('OK')	application/javascript	etag:W/%226d0c565a0223d7da49208f8ecb20709e%22	https://showandtell.agency/_next/static/chunks/2261-6d8581534f85fbb5.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/2261-6d8581534f85fbb5.js	(from https://showandtell.agency/)
19:30:49	10874/10874	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f0c006b8b91fe380fa3f931a8af8b94f%22	https://showandtell.agency/_next/static/chunks/8918-f60950b9f8baa6e6.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/8918-f60950b9f8baa6e6.js	(from https://showandtell.agency/)
19:30:49	4605/4605	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cebdedf4fc47660659df1150e95c379b%22	https://showandtell.agency/_next/static/chunks/5555-51df53a0e70679ca.js	C:/My%20Web%20Sites/loki2/showandtell.agency/_next/static/chunks/5555-51df53a0e70679ca.js	(from https://showandtell.agency/)
